ID,invoice_ID,lineNumber,material,materialDescription,quantity,unitOfMeasure,unitPrice,netAmount,purchaseOrder,purchaseOrderItem,isExceptionLine
17e40000-0000-0000-0000-000000000001,c0ffee00-0000-0000-0000-000000000001,10,STEEL-COIL-04,Hot-Rolled Steel Coil 0.4mm,120.000,EA,146.17,17540.40,4500001234,10,true
17e40000-0000-0000-0000-000000000002,c0ffee00-0000-0000-0000-000000000002,10,BEARING-6205,Deep Groove Ball Bearing 6205,60.000,EA,141.90,8514.00,4500001560,20,true
17e40000-0000-0000-0000-000000000003,c0ffee00-0000-0000-0000-000000000003,10,COATING-EPOXY-20L,Epoxy Floor Coating 20L Pail,45.000,L,88.89,4000.05,4500001601,10,true
17e40000-0000-0000-0000-000000000004,c0ffee00-0000-0000-0000-000000000004,10,BEARING-6306,Deep Groove Ball Bearing 6306,100.000,EA,142.50,14250.00,4500001560,30,true
17e40000-0000-0000-0000-000000000005,c0ffee00-0000-0000-0000-000000000005,10,HYD-PUMP-450,Hydraulic Gear Pump 450cc,5.000,EA,11904.80,59524.00,4500001789,10,true
17e40000-0000-0000-0000-000000000006,c0ffee00-0000-0000-0000-000000000006,10,COATING-EPOXY-20L,Epoxy Floor Coating 20L Pail,10.000,L,88.00,880.00,4500001601,10,false
17e40000-0000-0000-0000-000000000007,c0ffee00-0000-0000-0000-000000000006,20,COATING-EPOXY-20L,Epoxy Floor Coating 20L Pail,14.000,L,88.00,1232.00,4500001601,20,true
17e40000-0000-0000-0000-000000000008,c0ffee00-0000-0000-0000-000000000007,10,STEEL-COIL-06,Hot-Rolled Steel Coil 0.6mm,85.000,EA,165.00,14025.00,4500001234,20,true
17e40000-0000-0000-0000-000000000009,c0ffee00-0000-0000-0000-000000000008,10,STEEL-PLATE-12,Hot-Rolled Steel Plate 12mm,180.000,EA,245.00,44100.00,4500001890,10,true
17e40000-0000-0000-0000-000000000010,c0ffee00-0000-0000-0000-000000000009,10,HYD-VALVE-220,Hydraulic Directional Valve 220bar,40.000,EA,335.00,13400.00,4500001960,10,true
17e40000-0000-0000-0000-000000000011,c0ffee00-0000-0000-0000-000000000010,10,RAIL-CLIP-A36,Rail Fastening Clip Grade A36,500.000,EA,4.25,2125.00,4500002015,10,true
17e40000-0000-0000-0000-000000000012,c0ffee00-0000-0000-0000-000000000011,10,RAIL-CLIP-A36,Rail Fastening Clip Grade A36,367.000,EA,4.25,1559.75,4500002015,10,true
