ID,invoiceNumber,fiscalYear,companyCode,sourceChannel,vendor_ID,purchaseOrder,purchaseOrderItem,invoiceDate,postingDate,currency,grossAmount,netAmount,taxAmount,taxJurisdiction,taxCodeOnInvoice,taxCodeExpected,exceptionType_code,exceptionReasonText,extractedPayload,extractionConfidence,status,confidenceScore,slaDueAt,assignedTo,clerkDecision,clerkComment,createdAt,createdBy,modifiedAt,modifiedBy
c0ffee00-0000-0000-0000-000000000001,5100000123,2026,1000,EDI,8f14e45f-cf35-4c37-9b1b-000000000001,4500001234,10,2026-08-14,,CAD,18420.00,17540.00,880.00,AB,J1,J1,PO_MISMATCH,"Invoiced qty 120 EA vs PO qty 110 EA (10% over-delivery tolerance breach)",,,ROUTED_TO_CLERK,0.62,2026-08-16T09:00:00Z,clerk1,,,2026-08-14T08:05:00Z,system,2026-08-14T08:05:00Z,system
c0ffee00-0000-0000-0000-000000000002,5100000124,2026,1000,ARIBA,8f14e45f-cf35-4c37-9b1b-000000000002,4500001560,20,2026-08-15,2026-08-16,CAD,9024.75,8500.00,524.75,SK,S0,S1,TAX_VARIANCE,"Vendor applied GST-only; SK requires GST 5% + PST 6% per AP policy sec. 3.4",,,AUTO_RESOLVED,0.91,,,,,2026-08-15T11:20:00Z,system,2026-08-16T07:40:00Z,agent
c0ffee00-0000-0000-0000-000000000003,INV-7788-A,2026,1000,EMAIL_PDF,8f14e45f-cf35-4c37-9b1b-000000000003,4500001601,10,2026-08-17,,CAD,4180.00,4000.00,180.00,MB,,B1,MISSING_METADATA,"Tail-spend PDF invoice; PO number not printed, matched via vendor+amount heuristic at 78% confidence",,,ESCALATED,0.41,2026-08-19T09:00:00Z,supervisor1,,,2026-08-17T14:02:00Z,system,2026-08-17T14:10:00Z,agent
c0ffee00-0000-0000-0000-000000000004,5100000199,2026,1000,EDI,8f14e45f-cf35-4c37-9b1b-000000000002,4500001560,30,2026-08-18,,CAD,15862.50,14250.00,1612.50,SK,S1,S1,CONTRACT_RATE,"Invoiced rate $148.50/EA vs MSA-0091 contracted rate $142.50/EA",,,NEW,,,,,,2026-08-18T09:15:00Z,system,2026-08-18T09:15:00Z,system
c0ffee00-0000-0000-0000-000000000005,5100000201,2026,1000,EDI,8f14e45f-cf35-4c37-9b1b-000000000004,4500001789,10,2026-08-18,,CAD,62500.00,59524.00,2976.00,AB,J1,J1,MISSING_GR,"Invoice received; no GR posted yet against PO item 4500001789/10",,,NEW,,,,,,2026-08-18T13:40:00Z,system,2026-08-18T13:40:00Z,system
c0ffee00-0000-0000-0000-000000000006,INV-5521,2026,1000,EMAIL_PDF,8f14e45f-cf35-4c37-9b1b-000000000003,4500001601,20,2026-08-11,2026-08-13,CAD,2210.00,2100.00,110.00,MB,B1,B1,MISSING_METADATA,"Low-quality scan; DOX extraction confidence 0.94, all fields matched cleanly",,,AUTO_RESOLVED,0.94,,,,,2026-08-11T10:00:00Z,system,2026-08-12T06:30:00Z,agent
c0ffee00-0000-0000-0000-000000000007,5100000250,2026,1000,EDI,8f14e45f-cf35-4c37-9b1b-000000000001,4500001234,20,2026-07-05,2026-07-06,CAD,14726.25,14025.00,701.25,AB,J1,J1,PO_MISMATCH,"Invoiced qty 85 EA vs PO qty 80 EA (over-delivery); clerk rejected pending delivery confirmation from receiving dock",,,REJECTED,0.72,,clerk1,REJECT,"Delivery not confirmed by receiving dock; hold pending GR.",2026-07-05T09:00:00Z,system,2026-07-06T10:00:00Z,clerk1
c0ffee00-0000-0000-0000-000000000008,5100000276,2026,1000,EDI,8f14e45f-cf35-4c37-9b1b-000000000001,4500001890,10,2026-08-25,,CAD,46305.00,44100.00,2205.00,AB,J1,J1,PO_MISMATCH,"Invoiced qty 180 EA vs PO qty 200 EA (10% short-delivery — verify partial shipment)",,,NEW,,,,,,2026-08-25T09:30:00Z,system,2026-08-25T09:30:00Z,system
c0ffee00-0000-0000-0000-000000000009,5100000318,2026,1000,EDI,8f14e45f-cf35-4c37-9b1b-000000000004,4500001960,10,2026-08-27,,CAD,14070.00,13400.00,670.00,AB,J1,J1,CONTRACT_RATE,"Invoiced rate $335.00/EA vs PO reference rate $310.00/EA; no active MSA on file to confirm contracted pricing",,,NEW,,,,,,2026-08-27T11:00:00Z,system,2026-08-27T11:00:00Z,system
c0ffee00-0000-0000-0000-000000000010,5100000342,2026,1000,EDI,8f14e45f-cf35-4c37-9b1b-000000000005,4500002015,10,2026-08-28,,CAD,2358.75,2125.00,233.75,SK,S1,S1,MISSING_GR,"Invoice received same-day as shipment; GR had not posted at time of initial flagging",,,NEW,,,,,,2026-08-28T14:20:00Z,system,2026-08-28T14:20:00Z,system
c0ffee00-0000-0000-0000-000000000011,INV-9034-C,2026,1000,EMAIL_PDF,8f14e45f-cf35-4c37-9b1b-000000000005,4500002015,10,2026-08-29,,CAD,1731.60,1560.00,171.60,SK,,S1,MISSING_METADATA,"Tail-spend PDF invoice, low-quality scan; PO number not printed, matched via vendor+amount heuristic at 55% confidence",,,NEW,,,,,,2026-08-29T08:15:00Z,system,2026-08-29T08:15:00Z,system
